city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size
Stillwater,MN,Minnesota,United States,Midwest,2023,2762824,19243,45.0586,-92.8304,30,002cb4a8-3130-483e-819b-13470669fb09,f150a989-dfde-4bd6-9d0d-2f32202a8f08,26.65,19.48,20.91,0,0,20.2,22.69,0,7.28,15.69,18.99,11.47,15.59,28.16,47.76,45.22,6.22,36.49,0,24.53,25,90.1,206.8,small,814,366,18,568,336
Cincinnati,OH,Ohio,United States,Midwest,2023,3915000,308664,39.1402,-84.5058,25,5dc53b28-71f6-4988-9788-05033ccda510,bdaf714a-6f16-4b7b-adf4-0d58c0fc0ddd,21.52,15.24,43.89,8.91,25.51,26.69,9.44,10.35,16.02,11.54,14.89,18.35,13.76,44.31,58.33,21.92,5.53,32.39,7.73,23.98,24,1375.7,711.8,large,832,131,28,586,38
Bethel,CT,Connecticut,United States,New England,2023,904790,11374,41.3603,-73.4139,25,088dfe0e-ba59-4bf9-9d11-283f93b25c7b,b789eff0-442f-4221-8d11-d2fe3de2046c,26.33,22.19,18.75,0,0,17.91,0,0,0,7.98,22.16,0,11.52,7.48,55.18,7.41,0,32.89,23.25,19.38,19,66.3,14.7,small,1052,491,10,803,461
Spokane,WA,Washington,United States,Pacific,2023,5367000,225709,47.6669,-117.4333,25,fbcfb7b2-ed99-41ce-96f4-9831ea8de2e1,54b9e8e8-24c0-4c69-82e3-f45c4989df82,45.14,28.82,56.83,26.5,21.36,36.9,35.26,24.05,36.16,24.85,46.4,49.27,38.16,59.9,64.54,51.34,25.42,50.14,14.2,40.42,40,1867.4,450.4,medium,336,118,7,181,52
Miami,FL,Florida,United States,South,2023,1245000,440807,25.7752,-80.2086,25,19bf33a7-f6a3-41b6-aebe-c9538720dfe9,b452f3a4-6704-42e9-b9fe-b7e67fc962a8,21.55,13.61,50.64,10.57,9.81,25.51,7.32,11.89,10.95,18.91,25.83,0,13.19,36.31,38.84,17.32,7.51,23.48,15.75,22.3,22,1184.6,514.3,large,905,133,13,658,40
Kaufman,TX,Texas,United States,South,2023,4838488,6796,32.5836,-96.3167,30,29d45c1f-6333-443f-913e-f462c9e47704,a4dccaec-2f30-406a-b7e4-8715b696bfd5,19.76,17.9,17.12,0,0,17.51,25.19,0,1.98,6.31,13.07,0,12.44,6.66,10.85,0,0,10.85,0,13.62,14,8.1,161.2,small,1305,665,94,1056,635
Clinton Township,MI,Michigan,United States,Midwest,2023,2616520,99848,42.5869,-82.92,25,389ac06f-3bc7-4cf1-92b8-31d584f870e4,ecb9be53-ec95-46a8-a0d0-1f2d43a7184c,21.21,15.85,39.65,11.51,19.61,24.5,9.01,7.05,11.54,11.89,8.49,22.94,11.57,44.27,19.47,34.33,9.8,22.25,0,23.97,24,653.5,145.7,medium,833,324,27,587,201
Paris,IDF,Ile-de-France,France,Europe,2023,9900148,2165423,48.8566,2.3522,20,e15b0ba4-671b-4c65-9555-30dea600a60a,06f8f2b1-7c79-4757-bd41-790557e812fc,81.32,0,88.21,88.53,84.94,87.25,87.87,86.82,88.36,88.39,92.32,88.39,89.11,60.63,87.35,91.08,86.56,88.46,84.84,82.56,83,1824.9,340,large,12,4,1,1,1
Austin,TX,Texas,United States,South,2023,4805000,944658,30.3006,-97.7536,25,02fa7cef-bfb9-494e-9ae9-cdbaeb15f11f,2ed0803d-c5a5-4dda-a0e9-bf6ac091bdcf,32.86,24.33,42.57,23.34,26.82,31.11,27.76,24.41,20.4,24.65,29.86,24.62,25.7,42.3,59,36.92,21.31,41.85,14.32,31.06,31,5266.8,1836.1,large,569,105,9,360,23
Brielle,NJ,New Jersey,United States,Mid-Atlantic,2023,3407750,4955,40.1055,-74.0637,25,9877aa73-78ae-449b-bd0f-a5d94ea6cf48,4d891bc4-bcde-49d8-b68a-222098c9b508,13.58,10.7,2.78,0,0,6.74,0,8.8,0,0,0,0,1.35,21.63,26.33,0,8.87,12.75,0,8.81,9,42.7,15.4,small,1534,815,38,1285,785
